file_name,image_id,direction,diagonal_type,angle_deg,elongation_ratio,fragment_agreement,num_annotations,source,note
DeepCrack_IMG27-10_jpg.rf.LUhMG0gVj4RpYwPNRyJ0.jpg,0,Horizontal,,160.76,50.784,1.0,1,pca,
GAPS384_train_0543_1_641_jpg.rf.LbTo44luPpedlJkBkU2T.jpg,1,Vertical,,89.01,80.19,0.989,2,pca,
CRACK500_20160222_164851_1281_1081_jpg.rf.y8Q7EkKdcSc2yf1M9OmY.jpg,2,Vertical,,83.71,55.237,0.808,3,pca,
CRACK500_20160222_115858_641_1081_jpg.rf.LTN60KQcZGj85uWF4mPg.jpg,3,Vertical,,97.27,701.959,1.0,1,pca,
CRACK500_20160328_154454_721_1_jpg.rf.LbAQVPd2IDSxwD2cef4e.jpg,4,Vertical,,70.58,19.247,1.0,1,pca,
CRACK500_20160328_153829_1_1_jpg.rf.Lb4Hr0fxL2w4qFyJJ5Az.jpg,5,Horizontal,,3.6,10.358,1.0,1,pca,
CRACK500_20160222_115714_1281_721_jpg.rf.yFjryzepmKejB97XZfiK.jpg,6,Vertical,,84.61,401.928,1.0,1,pca,
CRACK500_20160328_153632_1_721_jpg.rf.LsHdixqhX2CpCdE9OZhl.jpg,7,Horizontal,,165.39,13.343,1.0,1,pca,
CFD_071_jpg.rf.xRDnF5zYDRJtmGBvX6vq.jpg,8,Mixed,,1.38,2.342,0.207,7,pca,
CRACK500_20160328_151343_1_361_jpg.rf.LdokXHjGeu2Lfhukywd6.jpg,9,Horizontal,,4.9,15.87,1.0,1,pca,
cracktree200_6720_jpg.rf.ySIOuhHxQ5lGn0i9xRHD.jpg,10,Vertical,,82.93,4.266,1.0,1,pca,
CFD_038_jpg.rf.yYkz7FWqIiAE1xf1JEBG.jpg,11,Horizontal,,8.74,94.792,1.0,1,pca,
cracktree200_6721_jpg.rf.Q2guiBscU1iJCDalIYGs.jpg,12,Mixed,,63.82,1.47,1.0,1,pca,
CFD_063_jpg.rf.yj1HNUeDswSE2gewNYn8.jpg,13,Mixed,,138.83,4.777,0.22,5,pca,
CRACK500_20160222_165031_641_1081_jpg.rf.QMRgTM2yLW66BFPY1SOg.jpg,14,Vertical,,82.53,83.356,1.0,1,pca,
cracktree200_6254_jpg.rf.yPcegCAIdpIO10ljk1mr.jpg,15,Diagonal,/,144.68,2.39,1.0,1,pca,
CRACK500_20160222_081011_1921_721_jpg.rf.QQdi8rO5gTLZP5nFJga1.jpg,16,Horizontal,,178.19,13.49,1.0,1,pca,
CRACK500_20160329_104205_1_721_jpg.rf.QmXmVrnHURoX6DtqVD0X.jpg,17,Horizontal,,177.51,28.63,1.0,1,pca,
DeepCrack_11175-3_jpg.rf.8xSX57sCoIwkP8ESpiWi.jpg,18,Horizontal,,176.61,40.415,1.0,1,pca,
Eugen_Muller_8980a_160_194_558_577_jpg.rf.LVQ2sVmVzl36UhH79FM0.jpg,19,Mixed,,134.64,1.567,0.562,4,pca,
CRACK500_20160330_170308_1_721_jpg.rf.QSfszx8x4fMprE3UPMps.jpg,20,Diagonal,/,152.56,17.478,1.0,1,pca,
CRACK500_20160222_115843_1281_361_jpg.rf.MVVEu82QDrhfCaofSSzs.jpg,21,Vertical,,95.48,49.338,0.983,2,pca,
CRACK500_20160222_165012_641_1_jpg.rf.94IlG2hsNNOaNS8JGUhj.jpg,22,Vertical,,107.0,81.686,1.0,1,pca,
CRACK500_20160328_154318_641_361_jpg.rf.QoqPoDhOnY5mmGvz7xXe.jpg,23,Vertical,,72.0,1.93,0.797,3,pca,
CFD_045_jpg.rf.yznUfvyL52ev8aV8imaQ.jpg,24,Horizontal,,158.55,8.255,1.0,1,pca,
CFD_077_jpg.rf.z0q7XGVF9Q9hioMQ5Kud.jpg,25,Diagonal,\,27.33,1.967,1.0,1,pca,
CRACK500_20160222_081011_641_361_jpg.rf.ymVSMxfCrv2gfSCuQ8JW.jpg,26,Horizontal,,21.34,5.223,1.0,1,pca,
CRACK500_20160328_150820_1921_361_jpg.rf.MjRsyRNidVMMsdSfMrMl.jpg,27,Vertical,,111.06,9.043,1.0,1,pca,
CFD_031_jpg.rf.yzK7XDPfKqfxWXBR3jjd.jpg,28,Mixed,,159.2,2.925,0.431,4,pca,
CRACK500_IMG_2941_1297_485_jpg.rf.N2rUzuE5jINFuSrT4C54.jpg,29,Horizontal,,168.53,38.607,1.0,1,pca,
DeepCrack_7Q3A9060-20_jpg.rf.z7c7sOhK2618JB6zbs3c.jpg,30,Diagonal,/,134.38,3.416,1.0,1,pca,
CFD_069_jpg.rf.QxnBvl46DiLN6YCODQMx.jpg,31,Diagonal,\,27.31,128.228,0.774,2,pca,
GAPS384_train_1284_541_1_jpg.rf.9cQotrMPVhKEeeyGhOrX.jpg,32,Vertical,,89.4,259.177,1.0,1,pca,
CRACK500_20160324_173527_1_361_jpg.rf.z7MVLbaJeJU8rlrAMcw8.jpg,33,Horizontal,,168.47,11.313,1.0,1,pca,
